rowid,consumption,income,floor_area,property_age,tenure,bedrooms,property_type,region,country,adults,scaled_income
60,15894.5530293685,38797.3982544052,151 to 200,Post 1999,NA,5,detached,South West,England,1,0.5192050699240496
61,13067.1478570445,38868.6364095194,151 to 200,1965 to 1983,NA,6,converted flat,West Midlands,England,4,0.5260809105166859
62,15461.9250517752,41628.1683164264,Over 250,1919 to 1944,Privately rented,6,NA,York and Humber,England,3,0.7924283681644716
63,17181.8418246467,43143.3252399659,201 to 250,1919 to 1944,NA,5,purpose built flat,West Midlands,England,4,0.9386699077212695
64,20728.9021624181,41296.1542409897,Over 250,Pre 1919,Council/Housing Association,7,mid terraced,West Midlands,England,5 or more,0.7603826778521016
65,11506.1751008152,44083.1043820168,151 to 200,1984 to 1992,Owner-occupied,5,mid terraced,York and Humber,England,2,1.0293765180014993
66,20309.2395235728,30812.8097189744,Over 250,1984 to 1992,Owner-occupied,8,semi-detached,South East,England,5 or more,-0.2514600024574886
67,16114.7410786933,23417.1920981407,Over 250,1919 to 1944,NA,7,converted flat,South East,England,2,-0.9652781489749751
68,19163.3962613014,41043.5412908928,201 to 250,Post 1999,Privately rented,6,end terrace,South West,England,2,0.7360007104398709
69,18650.4529086815,41503.9420588471,151 to 200,1945 to 1964,NA,5,converted flat,West Midlands,England,4,0.7804381651171609
70,17786.7714781892,29545.9736610126,50 or less,Post 1999,Council/Housing Association,4,purpose built flat,North West,England,4,-0.37373384261498893
71,10137.88802113,29347.869240197,201 to 250,Post 1999,Privately rented,4,mid terraced,York and Humber,England,2,-0.39285469738784146
72,14270.7192701532,36091.5852114435,Over 250,1984 to 1992,Owner-occupied,6,end terrace,East Midlands,England,5 or more,0.2580425071505526
73,17363.3973504022,39664.0256122985,50 or less,1919 to 1944,NA,5,end terrace,South West,England,1,0.6028511379130281
74,10527.8464336458,37586.9289435679,50 or less,1919 to 1944,Council/Housing Association,8,end terrace,South East,England,3,0.40237169586694493
75,12305.2880062724,39867.2862279413,50 or less,1984 to 1992,NA,5,end terrace,South West,England,4,0.6224696638234837
76,17178.6462902846,13219.9582867665,101 to 150,Pre 1919,NA,6,mid terraced,South East,England,5 or more,-1.949505689124627
77,17989.1754743982,52888.2035949747,201 to 250,1984 to 1992,Council/Housing Association,6,end terrace,London,England,5 or more,1.8792365191987568
78,16669.8403625602,39695.5626466541,151 to 200,1945 to 1964,NA,4,detached,East of England,England,2,0.6058950631893912
79,10819.8342543467,24342.1916390899,50 or less,Pre 1919,Council/Housing Association,4,converted flat,East Midlands,England,3,-0.8759980520713915
80,9892.72860314271,18341.0810987131,50 or less,1945 to 1964,Privately rented,6,mid terraced,South East,England,5 or more,-1.4552196698725859
81,21217.7518300663,48369.3082064786,151 to 200,1984 to 1992,Privately rented,5,semi-detached,East Midlands,England,2,1.4430769317376793
82,15780.3725833052,37623.7085326862,Over 250,1945 to 1964,Owner-occupied,5,purpose built flat,South East,England,5 or more,0.40592162766170675
83,15042.6297812997,43913.4457070189,Over 250,1945 to 1964,Owner-occupied,5,purpose built flat,West Midlands,England,2,1.0130012202053487
84,14135.3014840476,32375.7550323122,Over 250,1965 to 1983,NA,4,end terrace,South East,England,2,-0.10060597188509487
85,9481.34415752352,26083.6013685389,Over 250,1919 to 1944,Privately rented,4,purpose built flat,Wales,Wales,2,-0.7079188017460243
86,17313.4652218974,57023.2656195141,Over 250,1965 to 1983,NA,5,end terrace,East Midlands,England,5 or more,2.278348866729621
87,13717.8636971733,13489.1156156431,151 to 200,1965 to 1983,Owner-occupied,5,bungalow,York and Humber,England,4,-1.9235268736327256
88,13869.2458974149,36328.9432178476,50 or less,1965 to 1983,Owner-occupied,5,mid terraced,Wales,Wales,1,0.28095208156056134
89,18707.3005577403,41031.4960278668,101 to 150,1945 to 1964,NA,5,converted flat,London,England,5 or more,0.7348381128356747
90,18225.2135151263,41059.1863274141,201 to 250,1919 to 1944,Owner-occupied,5,purpose built flat,North East,England,2,0.7375107548397294
91,20697.3562420395,44611.4536908656,101 to 150,1984 to 1992,Owner-occupied,6,semi-detached,York and Humber,England,2,1.0803723027610868
93,17478.9881078485,47132.7379165117,Over 250,1945 to 1964,Council/Housing Association,6,detached,London,England,2,1.3237243154076779
94,20691.0879292595,16435.4099295547,50 or less,Post 1999,Owner-occupied,7,semi-detached,North East,England,3,-1.6391532818549637
95,9842.80368566556,21182.8662544582,50 or less,1945 to 1964,Council/Housing Association,6,NA,South East,England,5 or more,-1.180933205012576
96,10926.3757875455,28670.8394074758,50 or less,1945 to 1964,Council/Housing Association,4,mid terraced,London,England,5 or more,-0.4582009882734987
97,9754.50040377126,30152.3455815299,51 to 100,1945 to 1964,NA,6,end terrace,East Midlands,England,3,-0.3152073878149753
98,8332.80022222498,31034.1870624359,151 to 200,1919 to 1944,Council/Housing Association,5,purpose built flat,East Midlands,England,1,-0.23009286679791965
99,15006.2362443151,39775.1909326987,50 or less,1984 to 1992,Privately rented,7,converted flat,East Midlands,England,4,0.6135807114298574
100,17493.6525774106,22130.5071058826,51 to 100,1965 to 1983,Council/Housing Association,7,semi-detached,London,England,5 or more,-1.0894677898425902
101,19869.193794126,38645.7572765226,Over 250,1919 to 1944,NA,5,semi-detached,Wales,Wales,2,0.5045688235254623
102,19192.0075125988,42809.1002669362,201 to 250,1984 to 1992,Owner-occupied,4,semi-detached,South East,England,5 or more,0.9064108236258662
103,10312.3314898445,41579.8850497753,101 to 150,Pre 1919,Owner-occupied,6,converted flat,South West,England,5 or more,0.7877681120944973
104,22675.7076721786,40274.6838900876,Over 250,1993 to 1999,Privately rented,5,mid terraced,East Midlands,England,2,0.6617913079373727
105,11769.8847455395,45567.2346530622,101 to 150,Pre 1919,NA,5,detached,South West,England,3,1.1726233938653572
106,15116.8031466393,31269.2744993477,51 to 100,1965 to 1983,Privately rented,5,bungalow,North West,England,3,-0.20740244564726396
107,12830.3434067991,31188.2839591992,Over 250,1919 to 1944,Council/Housing Association,5,mid terraced,Wales,Wales,4,-0.21521957738909317
108,14129.4528054649,34430.7141123841,201 to 250,Pre 1919,Privately rented,6,converted flat,East Midlands,England,5 or more,0.09773677065664874
109,15475.2580489111,29559.2640745306,50 or less,1965 to 1983,Owner-occupied,4,end terrace,North West,England,4,-0.3724510642413279
110,15175.076132428,40655.492405558,Over 250,1919 to 1944,NA,5,detached,London,England,3,0.6985465923000207
111,14550.9619211414,20763.0832145285,101 to 150,1919 to 1944,Privately rented,6,end terrace,South West,England,5 or more,-1.2214502742912763
112,15130.8505187459,33862.7653220336,51 to 100,Post 1999,Privately rented,6,converted flat,North West,England,4,0.04291888070750066
113,12556.685933928,26330.0471064116,151 to 200,1919 to 1944,Privately rented,5,converted flat,South West,England,2,-0.6841320879319057
114,12473.843206163,26185.9271167164,Over 250,1965 to 1983,NA,4,mid terraced,York and Humber,England,2,-0.698042415533287
115,7458.6849669555,37137.8792330364,51 to 100,Pre 1919,Owner-occupied,4,semi-detached,West Midlands,England,1,0.3590298347135454
116,13001.984607137,41664.2086075806,151 to 200,Post 1999,Council/Housing Association,4,end terrace,Wales,Wales,1,0.795906943606118
117,12438.8103527946,46210.6702904409,50 or less,Pre 1919,NA,5,end terrace,East of England,England,3,1.2347272042061068
118,26376.1015571291,42510.1483918328,201 to 250,1919 to 1944,Owner-occupied,5,mid terraced,South West,England,1,0.8775562661940315
119,8753.13130636003,27950.3539084258,51 to 100,Pre 1919,Council/Housing Association,4,NA,East Midlands,England,5 or more,-0.5277415797280661
120,15254.3609663805,19530.242207702,51 to 100,1984 to 1992,NA,6,purpose built flat,North East,England,2,-1.3404429436749106
121,8183.27777164042,23456.2855093419,Over 250,Pre 1919,Council/Housing Association,4,converted flat,Wales,Wales,5 or more,-0.9615048892209722
122,8286.80968912102,43682.301042856,Over 250,1945 to 1964,Privately rented,4,end terrace,York and Humber,England,2,0.9906913518198643
123,15199.5244238738,30090.6709818261,Over 250,Pre 1919,Council/Housing Association,6,semi-detached,London,England,5 or more,-0.3211601629184034
124,10338.5000638115,18295.3851758981,Over 250,1919 to 1944,Privately rented,3,mid terraced,East Midlands,England,2,-1.4596301979176436
125,14653.6354124503,33837.5382560972,51 to 100,1919 to 1944,Owner-occupied,6,semi-detached,West Midlands,England,4,0.040483987724652566
126,12804.2864788333,43285.2616411412,50 or less,1984 to 1992,NA,5,end terrace,West Midlands,England,2,0.9523694773859992
127,11998.8063966684,16081.7249616912,50 or less,Post 1999,NA,4,bungalow,East Midlands,England,2,-1.6732906265846603
128,5881.33080014455,22446.1371104667,50 or less,1945 to 1964,Owner-occupied,3,converted flat,East of England,England,4,-1.0590034748376005
129,9349.36428857828,32606.8322474786,50 or less,1965 to 1983,Privately rented,5,mid terraced,East of England,England,1,-0.07830261361413186
130,15439.3304820375,34271.96890065683,Over 250,1984 to 1992,NA,6,purpose built flat,West Midlands,England,4,0.08241483020309245
131,17121.4322300876,30117.9786735447,151 to 200,1945 to 1964,NA,5,end terrace,East of England,England,2,-0.3185244498667536
132,12521.7985027213,45560.7240544136,50 or less,1919 to 1944,Privately rented,2,purpose built flat,Wales,Wales,1,1.1719949969283694
133,14662.2101846569,34271.96890065683,50 or less,Pre 1919,Privately rented,6,end terrace,York and Humber,England,2,0.08241483020309245
134,19528.7558487186,28602.0795198722,51 to 100,1919 to 1944,Owner-occupied,5,purpose built flat,East Midlands,England,4,-0.4648376287868868
135,20902.1312932687,28986.0872744318,Over 250,1965 to 1983,Privately rented,5,detached,North West,England,5 or more,-0.42777355683758894
136,9905.4881876533509,34271.96890065683,Over 250,Pre 1919,Council/Housing Association,4,end terrace,South West,England,2,0.08241483020309245
137,14152.9789551109,32745.2126190244,Over 250,1965 to 1983,Council/Housing Association,6,detached,York and Humber,England,4,-0.06494626862774924
138,19871.4133730213,35559.2260685568,Over 250,1984 to 1992,NA,5,mid terraced,London,England,2,0.20665969693244143
139,12624.7673225908,41289.337364999,201 to 250,Pre 1919,Owner-occupied,6,semi-detached,London,England,2,0.759724719310409
140,14434.2352700345,35001.5006722243,50 or less,Pre 1919,Council/Housing Association,4,converted flat,Wales,Wales,1,0.15282855948229826
141,14285.9043430081,32095.4374404977,50 or less,1984 to 1992,Owner-occupied,4,bungalow,York and Humber,England,5 or more,-0.12766196559434195
142,10812.524139994901,24035.0676036127,50 or less,1965 to 1983,NA,4,NA,NA,NA,5 or more,-0.9056413788353015
143,12733.665340269,19435.893245423,201 to 250,Pre 1919,Council/Housing Association,5,mid terraced,North West,England,1,-1.3495494179185383
144,14533.1995843589,15005.0239594964,50 or less,1984 to 1992,Council/Housing Association,6,purpose built flat,South East,England,3,-1.777212807684874
145,12867.4088533134,33685.4842461896,Over 250,1993 to 1999,NA,4,converted flat,North East,England,2,0.025807875858479472
146,19486.561167007,38438.7241820226,201 to 250,1984 to 1992,Owner-occupied,7,converted flat,Wales,Wales,5 or more,0.48458618145815763
147,12576.3911556607,44168.0585277839,51 to 100,Post 1999,NA,4,end terrace,East of England,England,5 or more,1.037576213277742
148,12780.4650213343,34328.4278019465,51 to 100,Pre 1919,Council/Housing Association,7,semi-detached,East Midlands,England,5 or more,0.08786419093795178
149,17681.9165534995,43880.4332249942,201 to 250,Post 1999,Owner-occupied,4,converted flat,South West,England,4,1.0098148860898002
150,10080.4846643684,29330.9793623337,201 to 250,1919 to 1944,Owner-occupied,6,mid terraced,East of England,England,3,-0.394484892718293
151,14482.2290735399,25627.6362601929,Over 250,Pre 1919,NA,7,mid terraced,East of England,England,5 or more,-0.7519281306760801
152,7931.79904102852,29546.248506785,50 or less,1945 to 1964,Owner-occupied,4,bungalow,North East,England,2,-0.37370731475620933
153,19721.0566791453,41610.0982081962,Over 250,1984 to 1992,Council/Housing Association,7,detached,South West,England,5 or more,0.7906842580947571
154,13472.6554416883,24643.164774653,101 to 150,1984 to 1992,NA,4,semi-detached,South West,England,3,-0.8469484044565665
155,12631.0821147917,31191.283903673,50 or less,Post 1999,Owner-occupied,5,end terrace,South West,England,2,-0.21493002553369303
156,9292.36761255979,46884.7013952599,151 to 200,1919 to 1944,NA,3,mid terraced,North West,England,4,1.2997840606587248
157,14626.8855434543,22858.9705519568,51 to 100,1993 to 1999,Council/Housing Association,4,mid terraced,York and Humber,England,4,-1.0191571743481387
158,11189.1329066142,43809.9635660657,Over 250,Pre 1919,Privately rented,5,converted flat,East Midlands,England,5 or more,1.00301322003552
159,12347.0621361222,29056.2040000403,Over 250,Pre 1919,Owner-occupied,4,converted flat,York and Humber,England,4,-0.4210059555796845
160,20245.0230285808,52807.9361768674,51 to 100,Post 1999,Owner-occupied,6,end terrace,South East,England,3,1.8714891825249824
161,13899.2215423827,24822.8324275592,50 or less,Pre 1919,Council/Housing Association,5,end terrace,York and Humber,England,4,-0.82960704940525
162,10012.119085708,28266.4349882705,201 to 250,1984 to 1992,NA,1,bungalow,Wales,Wales,3,-0.49723372735771143
163,15369.4612989537,37059.2533793534,151 to 200,Pre 1919,Privately rented,5,converted flat,North West,England,2,0.3514409403139419
164,13087.3003733978,30855.3462406696,201 to 250,Post 1999,NA,5,semi-detached,South East,England,1,-0.2473544168752602
165,17220.3644238786,42130.3393953622,Over 250,1945 to 1964,Owner-occupied,4,detached,London,England,2,0.8408974544772694
166,20869.0722761698,38000.0966515839,51 to 100,Post 1999,NA,5,end terrace,Wales,Wales,3,0.4422502594511467
167,10356.7895679836,40527.7118503046,50 or less,Pre 1919,Owner-occupied,5,end terrace,South West,England,4,0.6862133317410908
168,16631.9137009205,36985.1350268981,151 to 200,1945 to 1964,NA,4,purpose built flat,East Midlands,England,4,0.34428710574797744
169,15029.7516306253,40291.6690544385,151 to 200,1965 to 1983,Privately rented,5,mid terraced,North East,England,2,0.6634307002311409
170,18542.4934502624,26185.6849535965,201 to 250,1965 to 1983,Council/Housing Association,6,end terrace,North East,England,3,-0.6980657888927905
171,13665.9610913076,26317.1852477787,50 or less,Post 1999,Council/Housing Association,6,end terrace,North East,England,4,-0.6853735025859358
172,18286.6256036722,47212.1798035889,Over 250,Post 1999,NA,6,mid terraced,North East,England,2,1.3313919725928671
173,7094.67637676501,30772.540832793,Over 250,Pre 1919,Owner-occupied,5,converted flat,Wales,Wales,5 or more,-0.2553467179652449
174,21985.0627105342,39386.4747165246,Over 250,1993 to 1999,Council/Housing Association,6,detached,York and Humber,England,4,0.5760621831369618
175,18411.0677261453,36122.9088337454,101 to 150,Pre 1919,Owner-occupied,6,mid terraced,East Midlands,England,5 or more,0.2610658340936293
176,14006.0639782011,39872.5653429966,50 or less,Post 1999,Council/Housing Association,4,converted flat,East of England,England,5 or more,0.6229791991073804
177,8379.83885741827,25182.7026458081,50 or less,Post 1999,Council/Housing Association,3,bungalow,North East,England,2,-0.7948727100508693
178,17446.558726367,36898.8761548653,50 or less,1984 to 1992,Council/Housing Association,7,end terrace,East of England,England,2,0.33596147950390454
179,16756.913809921,20120.2840841264,101 to 150,Pre 1919,NA,7,purpose built flat,London,England,4,-1.2834926495695904
180,14631.952537714,50017.1736799207,Over 250,1945 to 1964,NA,5,purpose built flat,West Midlands,England,5 or more,1.602127377321695
181,15318.9011753448,41264.4628585747,151 to 200,1919 to 1944,Privately rented,4,detached,East of England,England,4,0.7573238550443447
182,12127.1200077556,38744.9869256597,Over 250,Post 1999,Council/Housing Association,5,mid terraced,London,England,2,0.514146377133303
183,16258.2060301172,17205.8001025695,50 or less,1984 to 1992,NA,4,converted flat,South East,England,2,-1.5647959376018519
184,15938.3931403401,34516.8029010305,50 or less,1945 to 1964,Privately rented,6,mid terraced,South East,England,4,0.10604598061017585
185,13449.6434583436,28438.4975391867,50 or less,1919 to 1944,Council/Housing Association,6,end terrace,East of England,England,3,-0.4806264096897344
186,8865.97870515127,14884.0716959831,50 or less,1919 to 1944,Council/Housing Association,5,converted flat,Wales,Wales,2,-1.7888870078645782
187,17697.6254584129,43243.5296517509,50 or less,Pre 1919,NA,6,purpose built flat,London,England,5 or more,0.9483415445148948
188,17064.6532063484,47358.7868897916,151 to 200,Post 1999,Council/Housing Association,6,end terrace,South West,England,5 or more,1.3455423524400802
189,11032.4420227945,34271.96890065683,201 to 250,1984 to 1992,Council/Housing Association,4,purpose built flat,South West,England,5 or more,0.08241483020309245
190,7747.61638046772,24509.8811307758,50 or less,1945 to 1964,NA,5,purpose built flat,NA,NA,2,-0.8598128180202838
191,15550.2957149922,50332.937194061204,151 to 200,1965 to 1983,Council/Housing Association,4,detached,North East,England,3,1.6326045785451155
192,13166.0944035553,16553.2114678876,50 or less,Post 1999,Owner-occupied,5,mid terraced,South West,England,4,-1.6277831867444732
193,15754.9864635433,41489.1186364828,151 to 200,1965 to 1983,Owner-occupied,4,purpose built flat,East of England,England,3,0.7790074221529333
194,9049.16992571789,24997.6557533737,51 to 100,Pre 1919,NA,6,mid terraced,London,England,2,-0.81273326430725
195,10502.8580047861,34271.96890065683,51 to 100,1945 to 1964,Council/Housing Association,5,converted flat,West Midlands,England,2,0.08241483020309245
196,19366.3858241475,32371.849880572,101 to 150,1984 to 1992,NA,6,converted flat,North West,England,2,-0.10098289350543484
197,16412.7882371601,45431.7249654342,Over 250,Pre 1919,Owner-occupied,5,detached,East Midlands,England,2,1.159544124625518
198,17204.5924625994,25413.5336317074,50 or less,Post 1999,NA,4,purpose built flat,Wales,Wales,1,-0.7725931176001625
199,22529.8787632444,50195.782317154,51 to 100,1965 to 1983,Owner-occupied,4,mid terraced,Wales,Wales,4,1.6193665171634757
200,15220.1792710445,47154.2524726014,151 to 200,Pre 1919,Privately rented,5,end terrace,NA,NA,1,1.325800880386894
201,5983.85882140682,9568.94774128122,50 or less,Pre 1919,Owner-occupied,3,purpose built flat,East of England,England,1,-2.3018978373006584
202,16107.6576203804,34271.96890065683,Over 250,1984 to 1992,Privately rented,6,detached,South East,England,5 or more,0.08241483020309245
203,19737.7608110068,43981.9393645833,201 to 250,Post 1999,Privately rented,3,end terrace,North West,England,5 or more,1.0196121644425262
204,23589.4152011377,33292.2488613968,Over 250,1984 to 1992,Privately rented,6,end terrace,South West,England,5 or more,-0.012146838393802378
205,8688.78708610442,21113.9532515825,201 to 250,Pre 1919,Council/Housing Association,4,end terrace,Wales,Wales,4,-1.1875846240698718
206,9670.06510245919,24383.5371598782,50 or less,Pre 1919,Owner-occupied,5,mid terraced,East Midlands,England,3,-0.872007420790947
207,11601.7796149485,27222.9420002962,50 or less,Post 1999,NA,4,end terrace,North East,England,2,-0.5979507017563743
208,10090.703011951,35540.9052774336,Over 250,1984 to 1992,Privately rented,5,mid terraced,South East,England,5 or more,0.2048913911826339
209,11859.2795286297,25062.1212117332,Over 250,1945 to 1964,Council/Housing Association,6,mid terraced,Wales,Wales,5 or more,-0.8065111181174649
210,13856.7984154211,33497.5826306362,151 to 200,1965 to 1983,Privately rented,5,converted flat,South East,England,3,0.007671786377037722
211,9451.84247063492,35226.9837594489,50 or less,1993 to 1999,Owner-occupied,4,purpose built flat,West Midlands,England,2,0.17459197771802393
212,23490.3214592312,27733.1427391416,50 or less,1965 to 1983,NA,7,detached,South West,England,4,-0.5487066001240051
213,15127.1434697809,27462.7852941632,50 or less,1945 to 1964,Privately rented,5,end terrace,North East,England,4,-0.5748012497078392
214,14296.9136549641,41136.3503671234,Over 250,Post 1999,NA,5,purpose built flat,York and Humber,England,3,0.7449585563117699
215,16808.8203740514,32046.4269296791,50 or less,1945 to 1964,NA,7,converted flat,London,England,5 or more,-0.13239241459617454
216,14821.6854682923,34271.96890065683,201 to 250,Pre 1919,Privately rented,6,mid terraced,North East,England,5 or more,0.08241483020309245
217,14088.0343642229,24869.6814747056,50 or less,1945 to 1964,Owner-occupied,5,mid terraced,London,England,2,-0.82508522287031
218,21064.327139722,47382.1187509221,Over 250,1965 to 1983,NA,6,end terrace,London,England,5 or more,1.3477943220146105
219,13717.4266073473,28539.4863766069,Over 250,1984 to 1992,Privately rented,6,mid terraced,West Midlands,England,4,-0.4708790608620762
220,9093.48789549001,24197.0866852213,151 to 200,1919 to 1944,Owner-occupied,4,purpose built flat,North East,England,5 or more,-0.8900034475003282
221,16332.1110219869,33735.4167547904,151 to 200,1993 to 1999,NA,5,NA,London,England,5 or more,0.03062731523024835
222,13135.7291222112,38681.6370248153,Over 250,1965 to 1983,NA,5,detached,Wales,Wales,5 or more,0.5080319035191687
223,12396.2042798743,26635.743321687,50 or less,Pre 1919,Owner-occupied,3,mid terraced,NA,NA,1,-0.654626573048255
